"scenario_id","estimator","formula_id","n_replicates","n_converged","bias","mse","power","mean_estimate","mean_se","allocation","K","n","covariate_distribution"
"main_1to1_K05_n100_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",5,100,"normal"
"main_1to1_K05_n100_normal","target_only","correct",1,1,0.327615787881339,0.107332104469111,1,2.32761578788134,0.210140734053371,"1to1",5,100,"normal"
"main_1to1_K05_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",5,100,"normal"
"main_1to1_K05_n100_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",5,100,"normal"
"main_3to1_K05_n100_normal","target_only","misspecified",1,1,-0.343637713444213,0.118086878101167,1,1.65636228655579,0.275436666244324,"3to1",5,100,"normal"
"main_3to1_K05_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",5,100,"normal"
"main_3to1_K05_n100_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",5,100,"normal"
"main_3to1_K05_n100_normal","target_only","correct",1,1,-0.0332829017024052,0.00110775154573197,1,1.96671709829759,0.24033629681302,"3to1",5,100,"normal"
"main_3to1_K05_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",5,100,"normal"
"main_3to1_K05_n100_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",5,100,"normal"
"main_4to0_K05_n100_normal","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",5,100,"normal"
"main_4to0_K05_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",5,100,"normal"
"main_4to0_K05_n100_normal","meta_regression","misspecified",1,1,0.564003364341558,0.318099794988596,1,2.56400336434156,0.746377652259823,"4to0",5,100,"normal"
"main_4to0_K05_n100_normal","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",5,100,"normal"
"main_4to0_K05_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",5,100,"normal"
"main_4to0_K05_n100_normal","meta_regression","correct",1,1,-0.0785040305941687,0.00616288281953017,1,1.92149596940583,0.903595511561885,"4to0",5,100,"normal"
"main_1to1_K10_n100_normal","target_only","misspecified",1,1,0.400739723222768,0.160592325768661,1,2.40073972322277,0.249808307811555,"1to1",10,100,"normal"
"main_1to1_K10_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",10,100,"normal"
"main_1to1_K10_n100_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",10,100,"normal"
"main_1to1_K10_n100_normal","target_only","correct",1,1,0.417185765151506,0.174043962645048,1,2.41718576515151,0.207127649794133,"1to1",10,100,"normal"
"main_1to1_K10_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",10,100,"normal"
"main_1to1_K10_n100_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",10,100,"normal"
"main_3to1_K10_n100_normal","target_only","misspecified",1,1,-0.909046842589164,0.826366162021328,1,1.09095315741084,0.256330182065987,"3to1",10,100,"normal"
"main_3to1_K10_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",10,100,"normal"
"main_3to1_K10_n100_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",10,100,"normal"
"main_3to1_K10_n100_normal","target_only","correct",1,1,-0.805101056166943,0.648187710641127,1,1.19489894383306,0.253624811102768,"3to1",10,100,"normal"
"main_3to1_K10_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",10,100,"normal"
"main_3to1_K10_n100_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",10,100,"normal"
"main_4to0_K10_n100_normal","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",10,100,"normal"
"main_4to0_K10_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",10,100,"normal"
"main_4to0_K10_n100_normal","meta_regression","misspecified",1,1,0.529998954513404,0.280898891785302,1,2.5299989545134,0.468481266231472,"4to0",10,100,"normal"
