"scenario_id","replicate","estimator","formula_id","estimate","se","ci_low","ci_high","converged","diagnostics"
"main_4to0_K30_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K30_n040_normal",1,"meta_regression","correct",2.0063019096955,0.384031293999138,1.25361440452087,2.75898941487012,TRUE,""
"main_1to1_K05_n100_normal",1,"target_only","misspecified",2.36817479040951,0.257392999828672,1.85738675923121,2.87896282158782,TRUE,""
"main_1to1_K05_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K05_n100_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K05_n100_normal",1,"target_only","correct",2.32761578788134,0.210140734053371,1.91048972757358,2.74474184818909,TRUE,""
"main_1to1_K05_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K05_n100_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K05_n100_normal",1,"target_only","misspecified",1.65636228655579,0.275436666244324,1.10976718661561,2.20295738649596,TRUE,""
"main_3to1_K05_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K05_n100_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K05_n100_normal",1,"target_only","correct",1.96671709829759,0.24033629681302,1.48965331963435,2.44378087696084,TRUE,""
"main_3to1_K05_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K05_n100_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K05_n100_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K05_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K05_n100_normal",1,"meta_regression","misspecified",2.56400336434156,0.746377652259823,1.10113004704674,4.02687668163637,TRUE,""
"main_4to0_K05_n100_normal",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K05_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K05_n100_normal",1,"meta_regression","correct",1.92149596940583,0.903595511561885,0.150481310152492,3.69251062865917,TRUE,""
"main_1to1_K10_n100_normal",1,"target_only","misspecified",2.40073972322277,0.249808307811555,1.9050032665049,2.89647617994064,TRUE,""
"main_1to1_K10_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K10_n100_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K10_n100_normal",1,"target_only","correct",2.41718576515151,0.207127649794133,2.00604062982763,2.82833090047538,TRUE,""
"main_1to1_K10_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K10_n100_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K10_n100_normal",1,"target_only","misspecified",1.09095315741084,0.256330182065987,0.582274253492652,1.59963206132902,TRUE,""
"main_3to1_K10_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K10_n100_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K10_n100_normal",1,"target_only","correct",1.19489894383306,0.253624811102768,0.691457672781216,1.6983402148849,TRUE,""
"main_3to1_K10_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
